"file","year","module","var","topic"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","edu_cost_inkind","education"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","edu_cost_service","education"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","edu_tutor","education"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","edu_tutor_fee","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m02_migration.dta",2023,"m02_migration","emig_remit_use_educ","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_highest","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_years","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_enrolled","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_last_grade","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_public","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_tuition","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_uniform","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_textbook","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_supply","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_meal","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_equipment","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_gift","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_other","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_total","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_inkind","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_cost_service","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_tutor","education"
"data/raw/hbs/20231230/uzb_hbs_2023_20231230_m03_education.dta",2023,"m03_education","edu_tutor_fee","education"
